Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1321,Veterans Cash,04/04/2012,2,TOTAL,2419016,1821000
1322,Funky 5's,,5,5,493829,372399
1322,Funky 5's,,5,10,658498,509399
1322,Funky 5's,,5,15,185272,145018
1322,Funky 5's,,5,20,164591,129962
1322,Funky 5's,,5,50,82313,64791
1322,Funky 5's,,5,100,7704,6031
1322,Funky 5's,,5,200,262,201
1322,Funky 5's,,5,500,728,591
1322,Funky 5's,,5,1000,156,122
1322,Funky 5's,,5,5000,21,15
1322,Funky 5's,,5,50000,6,4
1322,Funky 5's,,5,TOTAL,1593380,1228533
1333,Break The Bank,,2,2,1508525,1263714
1333,Break The Bank,,2,4,892936,770564
1333,Break The Bank,,2,6,246220,216044
1333,Break The Bank,,2,8,61657,54424
1333,Break The Bank,,2,10,153946,136268
1333,Break The Bank,,2,12,184698,164180
1333,Break The Bank,,2,20,92289,81995
1333,Break The Bank,,2,50,56997,50907
1333,Break The Bank,,2,200,10772,9558
1333,Break The Bank,,2,1000,327,285
1333,Break The Bank,,2,3000,79,71
1333,Break The Bank,,2,30000,10,7
1333,Break The Bank,,2,TOTAL,3208456,2748017
1336,Veterans Cash,,2,2,792054,175932
1336,Veterans Cash,,2,4,791785,186355
1336,Veterans Cash,,2,5,197878,45870
1336,Veterans Cash,,2,10,98981,24329
1336,Veterans Cash,,2,20,66041,15954
1336,Veterans Cash,,2,50,36444,9336
1336,Veterans Cash,,2,100,3444,883
1336,Veterans Cash,,2,1000,104,15
1336,Veterans Cash,,2,20000,20,3
1336,Veterans Cash,,2,TOTAL,1986751,458677
1341,Loteria\AE Texas,05/02/2012,3,3,2038492,1838994
1341,Loteria\AE Texas,05/02/2012,3,4,479752,433277
1341,Loteria\AE Texas,05/02/2012,3,7,419716,391490
1341,Loteria\AE Texas,05/02/2012,3,10,269711,247642
1341,Loteria\AE Texas,05/02/2012,3,17,239922,225606
1341,Loteria\AE Texas,05/02/2012,3,20,239787,222133
1341,Loteria\AE Texas,05/02/2012,3,30,24944,23525
1341,Loteria\AE Texas,05/02/2012,3,33,12499,11790
1341,Loteria\AE Texas,05/02/2012,3,50,11887,11030
1341,Loteria\AE Texas,05/02/2012,3,80,9993,9446
1341,Loteria\AE Texas,05/02/2012,3,300,7479,6840
1341,Loteria\AE Texas,05/02/2012,3,3000,226,210
1341,Loteria\AE Texas,05/02/2012,3,33000,30,29
1341,Loteria\AE Texas,05/02/2012,3,TOTAL,3754438,3422012
1342,Bonus Break The Bank,05/02/2012,5,5,1408204,1320934
1342,Bonus Break The Bank,05/02/2012,5,10,1609950,1534638
1342,Bonus Break The Bank,05/02/2012,5,15,553215,530139
1342,Bonus Break The Bank,05/02/2012,5,20,150995,144760
1342,Bonus Break The Bank,05/02/2012,5,50,196172,189029
1342,Bonus Break The Bank,05/02/2012,5,100,37791,36196
1342,Bonus Break The Bank,05/02/2012,5,500,2010,1921
1342,Bonus Break The Bank,05/02/2012,5,1000,384,372
1342,Bonus Break The Bank,05/02/2012,5,7500,40,38
1342,Bonus Break The Bank,05/02/2012,5,75000,21,20
1342,Bonus Break The Bank,05/02/2012,5,TOTAL,3958782,3758047
1343,Monthly Bonus,04/09/2012,5,5,1029476,834739
1343,Monthly Bonus,04/09/2012,5,10,1132879,938757
1343,Monthly Bonus,04/09/2012,5,15,205765,168287
1343,Monthly Bonus,04/09/2012,5,20,411823,342763
1343,Monthly Bonus,04/09/2012,5,25,103094,87261
1343,Monthly Bonus,04/09/2012,5,50,205944,171874
1343,Monthly Bonus,04/09/2012,5,60,32963,27967
1343,Monthly Bonus,04/09/2012,5,200,6968,5811
1343,Monthly Bonus,04/09/2012,5,2000,220,185
1343,Monthly Bonus,04/09/2012,5,20000,41,34
1343,Monthly Bonus,04/09/2012,5,$10000/month,4,4
1343,Monthly Bonus,04/09/2012,5,TOTAL,3129177,2577682
1348,'7-11-21\AE,,1,1,143275,57286
1348,'7-11-21\AE,,1,2,37257,15207
1348,'7-11-21\AE,,1,3,34363,14134
1348,'7-11-21\AE,,1,4,8602,3563
1348,'7-11-21\AE,,1,5,5731,2376
1348,'7-11-21\AE,,1,6,5737,2363
1348,'7-11-21\AE,,1,10,5731,2411
1348,'7-11-21\AE,,1,20,1231,516
1348,'7-11-21\AE,,1,50,143,62
1348,'7-11-21\AE,,1,300,29,16
1348,'7-11-21\AE,,1,TOTAL,242099,97934
1349,Set For Life,,10,10,1448444,1864
1349,Set For Life,,10,20,1206882,1631
1349,Set For Life,,10,50,201222,268
1349,Set For Life,,10,100,162517,229
1349,Set For Life,,10,200,25356,26
1349,Set For Life,,10,500,3544,6
1349,Set For Life,,10,1000,308,
1349,Set For Life,,10,2500,205,1
1349,Set For Life,,10,$250000/year,3,
1349,Set For Life,,10,TOTAL,3048481,4025
1350,Bingo Multi-Prize,,5,5,2625528,1616106
1350,Bingo Multi-Prize,,5,10,720871,444212
1350,Bingo Multi-Prize,,5,15,360432,225404
1350,Bingo Multi-Prize,,5,20,308940,191912
1350,Bingo Multi-Prize,,5,25,149367,94411
1350,Bingo Multi-Prize,,5,30,41909,26414
1350,Bingo Multi-Prize,,5,40,38590,23993
1350,Bingo Multi-Prize,,5,50,66347,41671
1350,Bingo Multi-Prize,,5,75,16769,10412
1350,Bingo Multi-Prize,,5,100,32454,20020
1350,Bingo Multi-Prize,,5,200,14162,8693
1350,Bingo Multi-Prize,,5,500,3714,2388
1350,Bingo Multi-Prize,,5,1000,93,58
1350,Bingo Multi-Prize,,5,2000,29,20
1350,Bingo Multi-Prize,,5,5000,44,27
1350,Bingo Multi-Prize,,5,20000,16,5
1350,Bingo Multi-Prize,,5,50000,16,12
1350,Bingo Multi-Prize,,5,TOTAL,4379281,2705758
1351,Bonus Cashword,,3,3,3456712,2599526
1351,Bonus Cashword,,3,5,4444256,3584120
1351,Bonus Cashword,,3,10,617200,505140
1351,Bonus Cashword,,3,20,370419,304941
1351,Bonus Cashword,,3,100,63264,52121
1351,Bonus Cashword,,3,500,12815,10569
1351,Bonus Cashword,,3,5000,78,67
1351,Bonus Cashword,,3,35000,52,42
1351,Bonus Cashword,,3,TOTAL,8964796,7056526
1353,9's In A Line,04/04/2012,1,1,1245481,1126705
1353,9's In A Line,04/04/2012,1,2,2075766,1929482
1353,9's In A Line,04/04/2012,1,4,519062,491342
1353,9's In A Line,04/04/2012,1,5,138403,131671
1353,9's In A Line,04/04/2012,1,10,138322,132716
1353,9's In A Line,04/04/2012,1,20,60629,58460
1353,9's In A Line,04/04/2012,1,40,33678,32507
1353,9's In A Line,04/04/2012,1,100,1731,1664
1353,9's In A Line,04/04/2012,1,999,173,166
1353,9's In A Line,04/04/2012,1,TOTAL,4213245,3904713
1354,$500 Million Frenzy,,20,20,6575037,2144811
1354,$500 Million Frenzy,,20,25,2768530,895601
1354,$500 Million Frenzy,,20,30,1384265,456391
1354,$500 Million Frenzy,,20,50,692113,225183
1354,$500 Million Frenzy,,20,100,836412,272132
1354,$500 Million Frenzy,,20,200,151368,49436
1354,$500 Million Frenzy,,20,500,46140,14813
1354,$500 Million Frenzy,,20,1000,23048,7380
1354,$500 Million Frenzy,,20,10000,886,282
1354,$500 Million Frenzy,,20,25000,296,97
1354,$500 Million Frenzy,,20,1000000,40,12
1354,$500 Million Frenzy,,20,2500000,10,3
1354,$500 Million Frenzy,,20,TOTAL,12478145,4066141
1355,Weekly Grand,,2,2,4614454,2220910
1355,Weekly Grand,,2,4,3121269,1560501
1355,Weekly Grand,,2,5,203597,101673
1355,Weekly Grand,,2,10,339513,173712
1355,Weekly Grand,,2,20,203518,96905
1355,Weekly Grand,,2,40,188862,97597
1355,Weekly Grand,,2,300,10749,5619
1355,Weekly Grand,,2,$1000/wk,4,2
1355,Weekly Grand,,2,TOTAL,8681966,4256919
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,10,863286,800521
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,20,863281,812453
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,50,92440,87724
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,100,25665,24191
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,200,9235,8708
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,500,4435,4248
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,1000,419,392
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,5000,105,101
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,10000,16,14
1356,Texas Lottery Black-Series III-Limited Edition,05/02/2012,10,1000000,6,5
