Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1310,"Triple Your Money","",2,"5","165537","134301"
1310,"Triple Your Money","",2,"10","115943","95278"
1310,"Triple Your Money","",2,"15","49631","40713"
1310,"Triple Your Money","",2,"20","66183","54559"
1310,"Triple Your Money","",2,"30","27597","22589"
1310,"Triple Your Money","",2,"60","20502","16913"
1310,"Triple Your Money","",2,"200","4821","3972"
1310,"Triple Your Money","",2,"1000","139","114"
1310,"Triple Your Money","",2,"20000","8","6"
1310,"Triple Your Money","",2,TOTAL,"1774645","1420449"
1317,"Yellow Rose of Texas","",2,"2","659764","497191"
1317,"Yellow Rose of Texas","",2,"4","758986","590796"
1317,"Yellow Rose of Texas","",2,"5","98988","76821"
1317,"Yellow Rose of Texas","",2,"10","115434","92706"
1317,"Yellow Rose of Texas","",2,"20","49520","39853"
1317,"Yellow Rose of Texas","",2,"50","54961","44770"
1317,"Yellow Rose of Texas","",2,"100","7681","6285"
1317,"Yellow Rose of Texas","",2,"1000","49","44"
1317,"Yellow Rose of Texas","",2,"20000","8","6"
1317,"Yellow Rose of Texas","",2,TOTAL,"1745391","1348472"
1321,"Veterans Cash","04/04/2012",2,"2","1411663","1047211"
1321,"Veterans Cash","04/04/2012",2,"5","664391","504403"
1321,"Veterans Cash","04/04/2012",2,"10","207670","161388"
1321,"Veterans Cash","04/04/2012",2,"20","82983","64640"
1321,"Veterans Cash","04/04/2012",2,"30","31129","24721"
1321,"Veterans Cash","04/04/2012",2,"50","13585","10536"
1321,"Veterans Cash","04/04/2012",2,"100","4110","3201"
1321,"Veterans Cash","04/04/2012",2,"PRIZE PACK","3455","1475"
1321,"Veterans Cash","04/04/2012",2,"1000","19","11"
1321,"Veterans Cash","04/04/2012",2,"20000","11","8"
1321,"Veterans Cash","04/04/2012",2,TOTAL,"2419016","1817594"
1322,"Funky 5's","",5,"5","493829","365530"
1322,"Funky 5's","",5,"10","658498","500176"
1322,"Funky 5's","",5,"15","185272","142347"
1322,"Funky 5's","",5,"20","164591","127611"
1322,"Funky 5's","",5,"50","82313","63605"
1322,"Funky 5's","",5,"100","7704","5902"
1322,"Funky 5's","",5,"200","262","198"
1322,"Funky 5's","",5,"500","728","584"
1322,"Funky 5's","",5,"1000","156","121"
1322,"Funky 5's","",5,"5000","21","14"
1322,"Funky 5's","",5,"50000","6","4"
1322,"Funky 5's","",5,TOTAL,"1593380","1206092"
1333,"Break The Bank","",2,"2","1508525","1251673"
1333,"Break The Bank","",2,"4","892936","763263"
1333,"Break The Bank","",2,"6","246220","214037"
1333,"Break The Bank","",2,"8","61657","53913"
1333,"Break The Bank","",2,"10","153946","134988"
1333,"Break The Bank","",2,"12","184698","162682"
1333,"Break The Bank","",2,"20","92289","81273"
