Scratch-Off Prizes as of 03/28/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1343,Monthly Bonus,04/09/2012,5,15,205765,168779
1343,Monthly Bonus,04/09/2012,5,20,411823,343672
1343,Monthly Bonus,04/09/2012,5,25,103094,87468
1343,Monthly Bonus,04/09/2012,5,50,205944,172317
1343,Monthly Bonus,04/09/2012,5,60,32963,28040
1343,Monthly Bonus,04/09/2012,5,200,6968,5823
1343,Monthly Bonus,04/09/2012,5,2000,220,185
1343,Monthly Bonus,04/09/2012,5,20000,41,34
1343,Monthly Bonus,04/09/2012,5,$10000/month,4,4
1343,Monthly Bonus,04/09/2012,5,TOTAL,3129177,2585233
1348,'7-11-21®,,1,1,143275,58209
1348,'7-11-21®,,1,2,37257,15448
1348,'7-11-21®,,1,3,34363,14357
1348,'7-11-21®,,1,4,8602,3623
1348,'7-11-21®,,1,5,5731,2419
1348,'7-11-21®,,1,6,5737,2400
1348,'7-11-21®,,1,10,5731,2456
1348,'7-11-21®,,1,20,1231,524
1348,'7-11-21®,,1,50,143,62
1348,'7-11-21®,,1,300,29,16
1348,'7-11-21®,,1,TOTAL,242099,99514
1349,Set For Life,,10,10,1448444,14560
1349,Set For Life,,10,20,1206882,12570
1349,Set For Life,,10,50,201222,2117
1349,Set For Life,,10,100,162517,1740
1349,Set For Life,,10,200,25356,257
1349,Set For Life,,10,500,3544,33
1349,Set For Life,,10,1000,308,3
1349,Set For Life,,10,2500,205,3
1349,Set For Life,,10,$250000/year,3,
1349,Set For Life,,10,TOTAL,3048481,31283
1350,Bingo Multi-Prize,,5,5,2625528,1681279
1350,Bingo Multi-Prize,,5,10,720871,462180
1350,Bingo Multi-Prize,,5,15,360432,234316
1350,Bingo Multi-Prize,,5,20,308940,199616
1350,Bingo Multi-Prize,,5,25,149367,98118
1350,Bingo Multi-Prize,,5,30,41909,27476
1350,Bingo Multi-Prize,,5,40,38590,25024
1350,Bingo Multi-Prize,,5,50,66347,43423
1350,Bingo Multi-Prize,,5,75,16769,10819
1350,Bingo Multi-Prize,,5,100,32454,20771
1350,Bingo Multi-Prize,,5,200,14162,9052
1350,Bingo Multi-Prize,,5,500,3714,2489
1350,Bingo Multi-Prize,,5,1000,93,59
1350,Bingo Multi-Prize,,5,2000,29,20
1350,Bingo Multi-Prize,,5,5000,44,28
1350,Bingo Multi-Prize,,5,20000,16,6
1350,Bingo Multi-Prize,,5,50000,16,12
1350,Bingo Multi-Prize,,5,TOTAL,4379281,2814688
1351,Bonus Cashword,,3,3,3456712,2704788
1351,Bonus Cashword,,3,5,4444256,3728847
1351,Bonus Cashword,,3,10,617200,525455
1351,Bonus Cashword,,3,20,370419,317184
1351,Bonus Cashword,,3,100,63264,54163
1351,Bonus Cashword,,3,500,12815,10978
1351,Bonus Cashword,,3,5000,78,71
1351,Bonus Cashword,,3,35000,52,45
1351,Bonus Cashword,,3,TOTAL,8964796,7341531
1353,9's In A Line,04/04/2012,1,1,1245481,1128233
1353,9's In A Line,04/04/2012,1,2,2075766,1931674
1353,9's In A Line,04/04/2012,1,4,519062,491741
1353,9's In A Line,04/04/2012,1,5,138403,131792
1353,9's In A Line,04/04/2012,1,10,138322,132791
1353,9's In A Line,04/04/2012,1,20,60629,58491
1353,9's In A Line,04/04/2012,1,40,33678,32519
1353,9's In A Line,04/04/2012,1,100,1731,1665
1353,9's In A Line,04/04/2012,1,999,173,166
1353,9's In A Line,04/04/2012,1,TOTAL,4213245,3909072
1354,$500 Million Frenzy,,20,20,6575037,2179759
1354,$500 Million Frenzy,,20,25,2768530,910296
1354,$500 Million Frenzy,,20,30,1384265,463976
